,the_geom,School_ID,Short_Name,Address,Grade_Cat,Lat,Long,Comm_Area
171,POINT (-87.64265157842047 41.79564568383013),609885,DEWEY,5415 S UNION AVE,ES,41.79564568,-87.64265158,61
172,POINT (-87.65336555308117 41.871254824726755),610009,GALILEO,820 S CARPENTER ST,ES,41.87125482,-87.65336555,28
173,POINT (-87.60416374544157 41.76525228180626),400052,NOBLE - COMER,7131 SOUTH CHICAGO AVE,HS,41.76525228,-87.60416375,69
174,POINT (-87.62649482097181 41.73752473116481),400062,PERSPECTIVES - TECH HS,8522 S LAFAYETTE AVE,HS,41.73752473,-87.62649482,44
175,POINT (-87.72724437841005 41.86697962767337),610503,FRAZIER PROSPECTIVE,4027 W GRENSHAW ST,ES,41.86697963,-87.72724438,29
176,POINT (-87.72238621543494 41.9829725220501),609744,NORTHSIDE LEARNING HS,3730 W BRYN MAWR AVE,HS,41.98297252,-87.72238622,13
177,POINT (-87.55755003384358 41.734626720502284),610323,BOWEN HS,2710 E 89TH ST,HS,41.73462672,-87.55755003,46
178,POINT (-87.76151477060625 41.92395525810637),610068,HANSON PARK,5411 W FULLERTON AVE,ES,41.92395526,-87.76151477,19
179,POINT (-87.62371943749262 41.72533227933453),609939,GILLESPIE,9301 S STATE ST,ES,41.72533228,-87.62371944,49
180,POINT (-87.68989562475376 41.900343635237874),400114,ACERO - SANTIAGO,2510 W CORTEZ ST,ES,41.90034364,-87.68989562,24
181,POINT (-87.67486500006086 41.77457107363911),610108,OTOOLE,6550 S SEELEY AVE,ES,41.77457107,-87.674865,67
182,POINT (-87.7093036657653 41.97150609733164),609794,EDISON,4929 N SAWYER AVE,ES,41.9715061,-87.70930367,14
183,POINT (-87.59334040532273 41.798535485155355),610090,MURRAY,5335 S KENWOOD AVE,ES,41.79853549,-87.59334041,41
184,POINT (-87.55051275981425 41.753117141805525),610572,CAMELOT - SAFE ES,7530 S SOUTH SHORE DR,ES,41.75311714,-87.55051276,43
185,POINT (-87.61154559300773 41.76647654327145),610115,PARK MANOR,7037 S RHODES AVE,ES,41.76647654,-87.61154559,69
186,POINT (-87.71580443149543 41.87574412344961),609907,ERICSON,3600 W 5TH AVE,ES,41.87574412,-87.71580443,27
187,POINT (-87.72107064650443 41.85836974400631),400044,KIPP - ASCEND,1616 S AVERS AVE,ES,41.85836974,-87.72107065,29
188,POINT (-87.69463865990117 41.81872906388031),609715,KELLY HS,4136 S CALIFORNIA AVE,HS,41.81872906,-87.69463866,58
189,POINT (-87.66872222930542 41.864365482893085),609750,SIMPSON HS,1321 S PAULINA ST,HS,41.86436548,-87.66872223,28
190,POINT (-87.6761109297936 41.86581741364269),400057,NOBLE - UIC HS,1231 S DAMEN AVE,HS,41.86581741,-87.67611093,28
191,POINT (-87.57849166953399 41.74628657066813),400139,YCCS - SULLIVAN,8164 S SOUTH CHICAGO AVE,HS,41.74628657,-87.57849167,45
192,POINT (-87.6687720115164 41.81033324092604),610167,SEWARD,4600 S HERMITAGE AVE,ES,41.81033324,-87.66877201,61
193,POINT (-87.59951563219373 41.653702116236595),609845,CARVER G,901 E 133RD PL,ES,41.65370212,-87.59951563,54
194,POINT (-87.77684656597603 41.94305449108391),610340,CHICAGO ACADEMY HS,3400 N AUSTIN AVE,HS,41.94305449,-87.77684657,17
195,POINT (-87.71331750070007 41.911938079740125),610192,STOWE,3444 W WABANSIA AVE,ES,41.91193808,-87.7133175,23
196,POINT (-87.71247015060501 41.85266348848779),609873,CROWN,2128 S SAINT LOUIS AVE,ES,41.85266349,-87.71247015,29
197,POINT (-87.68601824432604 41.9495297990607),609799,BELL,3730 N OAKLEY AVE,ES,41.9495298,-87.68601824,5
198,POINT (-87.63952072118778 41.72362690608979),610027,KIPLING,9351 S LOWE AVE,ES,41.72362691,-87.63952072,73
199,POINT (-87.63511669834391 41.77836949913591),400106,NOBLE - JOHNSON HS,6350 S STEWART AVE,HS,41.7783695,-87.6351167,68
200,POINT (-87.7052063218969 41.93943320993381),610568,PATHWAYS - AVONDALE HS,3100 W BELMONT AVE,HS,41.93943321,-87.70520632,21
201,POINT (-87.72238554791986 41.85837242000977),610123,PENN,1616 S AVERS AVE,ES,41.85837242,-87.72238555,29
202,POINT (-87.74661383937644 41.891816142769315),400146,KIPP - ACADEMY,4818 W OHIO ST,ES,41.89181614,-87.74661384,25
203,POINT (-87.6403407498438 41.83959485632559),609979,HEALY,3010 S PARNELL AVE,ES,41.83959486,-87.64034075,60
204,POINT (-87.62502997955576 41.80611759760932),610380,WILLIAMS HS,4934 S WABASH AVE,HS,41.8061176,-87.62502998,38
205,POINT (-87.64974916516269 41.95998415548237),610242,BRENNEMANN,4251 N CLARENDON AVE,ES,41.95998416,-87.64974917,3
206,POINT (-87.74595144443238 41.991169246498906),610155,SAUGANASH,6040 N KILPATRICK AVE,ES,41.99116925,-87.74595144,12
207,POINT (-87.77763129473917 41.94857131228708),610201,THORP O,6024 W WARWICK AVE,ES,41.94857131,-87.77763129,17
208,POINT (-87.6347505165276 41.74886822530017),610300,WESTCOTT,409 W 80TH ST,ES,41.74886823,-87.63475052,44
209,POINT (-87.60017682327393 41.764195865105),610146,REVERE,1010 E 72ND ST,ES,41.76419587,-87.60017682,69
210,POINT (-87.6577088771243 41.94227548886953),609974,HAWTHORNE,3319 N CLIFTON AVE,ES,41.94227549,-87.65770888,6
211,POINT (-87.75795257359309 41.92160395732478),609922,BELMONT-CRAGIN,5252 W PALMER ST,ES,41.92160396,-87.75795257,19
212,POINT (-87.82929570100909 41.94800702810086),609836,CANTY,3740 N PANAMA AVE,ES,41.94800703,-87.8292957,17
213,POINT (-87.62713680544573 41.80913475766682),610237,BEETHOVEN,25 W 47TH ST,ES,41.80913476,-87.62713681,38
214,POINT (-87.61432001021043 41.65373298145686),610364,DUBOIS,330 E 133RD ST,ES,41.65373298,-87.61432001,54
215,POINT (-87.69624330090758 41.85271913493378),609966,HAMMOND,2819 W 21ST PL,ES,41.85271913,-87.6962433,30
216,POINT (-87.64600935975373 41.91826831157405),609738,LINCOLN PARK HS,2001 N ORCHARD ST,HS,41.91826831,-87.64600936,7
217,POINT (-87.7399202337779 41.77107907272639),610544,AZUELA,4707 W MARQUETTE RD,ES,41.77107907,-87.73992023,65
218,POINT (-87.64765248686282 41.70195211714686),610086,MOUNT VERNON,10540 S MORGAN ST,ES,41.70195212,-87.64765249,73
219,POINT (-87.65756105861047 41.720246423748904),400026,CICS - LOOMIS,9535 S LOOMIS ST,ES,41.72024642,-87.65756106,73
220,POINT (-87.67092712871728 41.754193850575675),609790,BARTON,7650 S WOLCOTT AVE,ES,41.75419385,-87.67092713,71
221,POINT (-87.70630009266641 41.84226716605956),610063,MCCORMICK,2712 S SAWYER AVE,ES,41.84226717,-87.70630009,30
222,POINT (-87.73046684944869 41.809170790028666),400085,ACERO - GARCIA HS,4248 W 47TH ST,HS,41.80917079,-87.73046685,57
223,POINT (-87.64089202543342 41.77645281066968),610019,KERSHAW,6450 S LOWE AVE,ES,41.77645281,-87.64089203,68
224,POINT (-87.66423334339181 41.8786025331421),609755,YOUNG HS,211 S LAFLIN ST,HS,41.87860253,-87.66423334,28
225,POINT (-87.65247334562713 41.96554746165571),610394,UPLIFT HS,900 W WILSON AVE,HS,41.96554746,-87.65247335,3
226,POINT (-87.69101262673288 41.946644575017245),609720,LANE TECH HS,2501 W ADDISON ST,HS,41.94664458,-87.69101263,5
227,POINT (-87.64484149476914 41.90510911968544),610534,SKINNER NORTH,640 W SCOTT ST,ES,41.90510912,-87.64484149,8
228,POINT (-87.79310825534182 41.993790349803824),610104,ONAHAN,6634 W RAVEN ST,ES,41.99379035,-87.79310826,10
229,POINT (-87.72460522408866 41.97163400199348),610209,VOLTA,4950 N AVERS AVE,ES,41.971634,-87.72460522,14
230,POINT (-87.63996733090828 41.793556268015074),400163,KIPP - BLOOM,5515 S LOWE AVE,ES,41.79355627,-87.63996733,68
231,POINT (-87.60466040817992 41.70755761761424),609978,SMITH,744 E 103RD ST,ES,41.70755762,-87.60466041,50
232,POINT (-87.63227938229059 41.7908002441225),610173,SHERWOOD,245 W 57TH ST,ES,41.79080024,-87.63227938,68
233,POINT (-87.7173534236252 41.74507775213447),609879,DAWES,3810 W 81ST PL,ES,41.74507775,-87.71735342,70
234,POINT (-87.65829608025545 41.98913906100289),610196,SWIFT,5900 N WINTHROP AVE,ES,41.98913906,-87.65829608,77
235,POINT (-87.63541036887602 41.745781231018704),609692,SIMEON HS,8147 S VINCENNES AVE,HS,41.74578123,-87.63541037,44
236,POINT (-87.59079500924986 41.783368323496106),609837,CARNEGIE,1414 E 61ST PL,ES,41.78336832,-87.59079501,42
237,POINT (-87.71036161378386 41.97033523524002),609994,HIBBARD,3244 W AINSLIE ST,ES,41.97033524,-87.71036161,14
238,POINT (-87.68440568153046 42.016475882493204),400121,ACERO - DE LA CRUZ,7416 N RIDGE BLVD,ES,42.01647588,-87.68440568,2
239,POINT (-87.66809130690706 41.88390675594886),610308,RUDOLPH,1628 W WASHINGTON BLVD,ES,41.88390676,-87.66809131,28
240,POINT (-87.77041752737658 41.86781256832871),609795,CLARK ES,1045 S MONITOR AVE,ES,41.86781257,-87.77041753,25
241,POINT (-87.70224105256052 41.87381494751907),610271,JENSEN,3030 W HARRISON ST,ES,41.87381495,-87.70224105,27
242,POINT (-87.59693188177575 41.7169888724496),610178,SCHMID,9755 S GREENWOOD AVE,ES,41.71698887,-87.59693188,50
243,POINT (-87.67413840184173 41.87631672812639),400142,YCCS - VIRTUAL HS,1900 W VAN BUREN ST,HS,41.87631673,-87.6741384,28
244,POINT (-87.77818680274711 41.94305592014629),610248,CHICAGO ACADEMY ES,3400 N AUSTIN AVE,ES,41.94305592,-87.7781868,17
245,POINT (-87.75542435392026 41.88826258108702),400178,MOVING EVEREST,416 N. LARAMIE AVE,ES,41.88826258,-87.75542435,25
246,POINT (-87.67372272471344 41.89240461212604),610197,TALCOTT,1840 W OHIO ST,ES,41.89240461,-87.67372272,24
247,POINT (-87.76993751641062 41.957598988549314),610390,RICKOVER MILITARY HS,5700 W BERTEAU AVE,HS,41.95759899,-87.76993752,15
248,POINT (-87.72466123134852 41.878798932740885),610293,MELODY,3937 W WILCOX ST,ES,41.87879893,-87.72466123,26
249,POINT (-87.78269957085672 41.917598138290266),609818,BURBANK,2035 N MOBILE AVE,ES,41.91759814,-87.78269957,19
250,POINT (-87.62678146981605 41.83207205853407),400145,YCCS - YOUTH CONNECTION,3424 S STATE ST,HS,41.83207206,-87.62678147,35
251,POINT (-87.67754136786813 41.80841254338603),610563,BACK OF THE YARDS HS,2111 W 47TH ST,HS,41.80841254,-87.67754137,61
252,POINT (-87.6762882521466 41.96784686777537),610070,MCPHERSON,4728 N WOLCOTT AVE,ES,41.96784687,-87.67628825,4
253,POINT (-87.63685077269177 41.77024998310753),610592,ENGLEWOOD STEM HS,6835 S NORMAL BLVD,HS,41.77024998,-87.63685077,68
254,POINT (-87.77834486153144 42.00749067018199),610230,WILDWOOD,6950 N HIAWATHA AVE,ES,42.00749067,-87.77834486,12
255,POINT (-87.69718539374006 42.015265046406135),610147,ROGERS,7345 N WASHTENAW AVE,ES,42.01526505,-87.69718539,2
256,POINT (-87.60121587665121 41.70665961719825),609761,CORLISS HS,821 E 103RD ST,HS,41.70665962,-87.60121588,50
257,POINT (-87.77674853945707 41.92168749543514),400030,CICS - WEST BELDEN,2245 N MCVICKER AVE,ES,41.9216875,-87.77674854,19
258,POINT (-87.70870563224456 41.848559874656516),609704,FARRAGUT HS,2345 S CHRISTIANA AVE,HS,41.84855987,-87.70870563,30
259,POINT (-87.68106119769817 41.777510508068595),610347,CLAREMONT,2300 W 64TH ST,ES,41.77751051,-87.6810612,66
260,POINT (-87.76333693233927 41.87276042857196),400068,PLATO,5545 W HARRISON ST,ES,41.87276043,-87.76333693,25
261,POINT (-87.7485150135082 41.91881409631146),610040,LLOYD,2103 N LAMON AVE,ES,41.9188141,-87.74851501,19
262,POINT (-87.64808617419781 41.85483574753875),610216,WALSH,2015 S PEORIA ST,ES,41.85483575,-87.64808617,31
263,POINT (-87.68056201257482 41.93579455641457),610524,ALCOTT HS,2957 N HOYNE AVE,HS,41.93579456,-87.68056201,5
264,POINT (-87.66908929640572 41.77512408382618),609711,HARPER HS,6520 S WOOD ST,HS,41.77512408,-87.6690893,67
265,POINT (-87.65098672781265 41.73444162333087),400117,NOBLE - HANSBERRY HS,8748 S ABERDEEN ST,HS,41.73444162,-87.65098673,71
266,POINT (-87.72109744629034 41.749375610128205),609698,BOGAN HS,3939 W 79TH ST,HS,41.74937561,-87.72109745,70
267,POINT (-87.75939838513519 41.893612211402456),610000,HOWE,720 N LOREL AVE,ES,41.89361221,-87.75939839,25
268,POINT (-87.68560700306018 41.80165862497381),609855,CHRISTOPHER,5042 S ARTESIAN AVE,ES,41.80165862,-87.685607,63
269,POINT (-87.55620144123627 41.73462237198718),400157,NOBLE - BAKER HS,2710 E 89TH ST,HS,41.73462237,-87.55620144,46
270,POINT (-87.65977458979333 41.74523702220766),609864,COOK,8150 S BISHOP ST,ES,41.74523702,-87.65977459,71
271,POINT (-87.72709565848761 41.93729828527434),400013,ASPIRA - EARLY COLLEGE HS,3986 W BARRY AVE,HS,41.93729829,-87.72709566,21
272,POINT (-87.67449459892651 41.91591380191579),609896,DRUMMOND,1845 W CORTLAND ST,ES,41.9159138,-87.6744946,22
273,POINT (-87.62929656938485 41.89997648989646),610101,OGDEN ES,24 W WALTON ST,ES,41.89997649,-87.62929657,8
274,POINT (-87.77948259997899 41.789964634528374),610026,KINZIE,5625 S MOBILE AVE,ES,41.78996463,-87.7794826,56
275,POINT (-87.69629419836055 41.930966096627884),609809,BRENTANO,2723 N FAIRFIELD AVE,ES,41.9309661,-87.6962942,22
276,POINT (-87.72752437440197 41.86991585857576),610221,WEBSTER,4055 W ARTHINGTON ST,ES,41.86991586,-87.72752437,26
277,POINT (-87.69936418519197 41.8130073702618),609958,GUNSAULUS,4420 S SACRAMENTO AVE,ES,41.81300737,-87.69936419,58
278,POINT (-87.5567892487748 41.76033180038522),610281,POWELL,7511 S SOUTH SHORE DR,ES,41.7603318,-87.55678925,43
279,POINT (-87.65157334214143 41.94900330098147),610078,INTER-AMERICAN,851 W WAVELAND AVE,ES,41.9490033,-87.65157334,6
280,POINT (-87.58218173784377 41.72610745557593),610316,EARHART,1710 E 93RD ST,ES,41.72610746,-87.58218174,48
281,POINT (-87.68031496656168 41.879869820873424),610252,DETT,2131 W MONROE ST,ES,41.87986982,-87.68031497,28
282,POINT (-87.7352779616072 41.83616881871939),610384,INFINITY HS,3120 S KOSTNER AVE,HS,41.83616882,-87.73527796,30
283,POINT (-87.6759655135522 41.76061412751453),609941,RANDOLPH,7316 S HOYNE AVE,ES,41.76061413,-87.67596551,67
284,POINT (-87.64599025178921 41.913947217925134),610095,NEWBERRY,700 W WILLOW ST,ES,41.91394722,-87.64599025,7
285,POINT (-87.70406006782767 41.73523902268549),610557,PATHWAYS - ASHBURN HS,3284 W 87TH ST,HS,41.73523902,-87.70406007,70
286,POINT (-87.70574908776544 41.74284992213334),610109,OWEN,8247 S CHRISTIANA AVE,ES,41.74284992,-87.70574909,70
287,POINT (-87.67339165432213 41.85048088695514),610228,WHITTIER,1900 W 23RD ST,ES,41.85048089,-87.67339165,31
288,POINT (-87.58295438277372 41.768555190301285),610116,PARKSIDE,6938 S EAST END AVE,ES,41.76855519,-87.58295438,43
289,POINT (-87.6038738616326 41.813675452911355),609751,KING HS,4445 S DREXEL BLVD,HS,41.81367545,-87.60387386,39
290,POINT (-87.71804676766163 41.89536225911062),400056,NOBLE - ROWE CLARK HS,3645 W CHICAGO AVE,HS,41.89536226,-87.71804677,23
291,POINT (-87.70898711116945 41.858563554204274),400058,NLCP - CHRISTIANA HS,1615 S. CHRISTIANA AVE.,HS,41.85856355,-87.70898711,29
292,POINT (-87.7148186155918 41.964827884615524),609728,ROOSEVELT HS,3436 W WILSON AVE,HS,41.96482788,-87.71481862,14
293,POINT (-87.62855344657889 41.84404331289961),609894,DRAKE,2710 S DEARBORN ST,ES,41.84404331,-87.62855345,35
294,POINT (-87.59878626838409 41.811182867317584),400076,U OF C - NKO,1119 E 46TH ST,ES,41.81118287,-87.59878627,39
295,POINT (-87.67594676755326 41.759852429202134),609745,SOUTHSIDE HS,7342 S HOYNE AVE,HS,41.75985243,-87.67594677,67
296,POINT (-87.76607165818345 41.97979005572081),609912,FARNSWORTH,5414 N LINDER AVE,ES,41.97979006,-87.76607166,11
297,POINT (-87.61362864697801 41.83111753164771),400105,URBAN PREP - BRONZEVILLE HS,521 E 35TH ST,HS,41.83111753,-87.61362865,35
298,POINT (-87.70715072817114 41.96172105674063),610354,NORTH RIVER,4416 N TROY ST,ES,41.96172106,-87.70715073,14
299,POINT (-87.65065315648945 41.83385390963363),609777,ARMOUR,950 W 33RD PL,ES,41.83385391,-87.65065316,60
300,POINT (-87.71869663581879 41.83706515201162),609938,GARY,3740 W 31ST ST,ES,41.83706515,-87.71869664,30
301,POINT (-87.72650426433654 41.99024501216148),400034,CICS - NORTHTOWN HS,3900 W PETERSON AVE,HS,41.99024501,-87.72650426,13
302,POINT (-87.6064191733992 41.70263000159789),610132,POE,10538 S LANGLEY AVE,ES,41.70263,-87.60641917,50
303,POINT (-87.73561211047468 41.9463645435742),609729,SCHURZ HS,3601 N MILWAUKEE AVE,HS,41.94636454,-87.73561211,16
304,POINT (-87.77717419891077 41.934192162778004),610046,LYON,2941 N MCVICKER AVE,ES,41.93419216,-87.7771742,19
305,POINT (-87.76191637272515 41.885993287294944),610518,AUSTIN CCA HS,231 N PINE AVE,HS,41.88599329,-87.76191637,25
306,POINT (-87.62500446841632 41.80520417115968),610381,BRONZEVILLE HS,4934 S WABASH AVE,HS,41.80520417,-87.62500447,38
307,POINT (-87.70804087648982 41.93397019626955),610325,AVONDALE-LOGANDALE,3212 W GEORGE ST,ES,41.9339702,-87.70804088,21
308,POINT (-87.76466317335583 41.960363796686735),609766,VAUGHN HS,4355 N LINDER AVE,HS,41.9603638,-87.76466317,15
309,POINT (-87.66542623590556 41.89180608207174),610107,OTIS,525 N ARMOUR ST,ES,41.89180608,-87.66542624,24
310,POINT (-87.64745284244795 41.78494238058913),609793,NICHOLSON,6006 S PEORIA ST,ES,41.78494238,-87.64745284,68
311,POINT (-87.69727833699844 41.697170334539365),610084,KELLER,3020 W 108TH ST,ES,41.69717033,-87.69727834,74
312,POINT (-87.7106794800681 41.86727271466093),400046,LEARN - BUTLER,1132 S HOMAN AVE,ES,41.86727271,-87.71067948,29
313,POINT (-87.60850078078482 41.827726081741545),400075,U OF C - DONOGHUE,707 E 37TH ST,ES,41.82772608,-87.60850078,36
314,POINT (-87.65548116090044 41.72967267491388),609924,FORT DEARBORN,9025 S THROOP ST,ES,41.72967267,-87.65548116,73
315,POINT (-87.64608274403552 41.956816131048946),610363,DISNEY,4140 N MARINE DR,ES,41.95681613,-87.64608274,3
316,POINT (-87.64804432347509 41.716193296392845),610366,WACKER,9746 S MORGAN ST,ES,41.7161933,-87.64804432,73
317,POINT (-87.6684358817945 41.7975802708172),609929,FULTON,5300 S HERMITAGE AVE,ES,41.79758027,-87.66843588,61
318,POINT (-87.664072468525 41.907797179076844),400096,ROWE,1424 N CLEAVER ST,ES,41.90779718,-87.66407247,24
319,POINT (-87.61763743459437 41.84022557248816),609676,DUNBAR HS,3000 S KING DR,HS,41.84022557,-87.61763743,35
320,POINT (-87.66998540066854 42.0096638555208),609918,FIELD,7019 N ASHLAND AVE,ES,42.00966386,-87.6699854,1
321,POINT (-87.63363213618669 41.68665997028377),609808,HALEY,11411 S EGGLESTON AVE,ES,41.68665997,-87.63363214,49
322,POINT (-87.63727734721517 41.77272749766362),610290,MAYS,6656 S NORMAL BLVD,ES,41.7727275,-87.63727735,68
323,POINT (-87.81313152527646 41.942551670327916),609884,DEVER,3436 N OSCEOLA AVE,ES,41.94255167,-87.81313153,17
324,POINT (-87.66262778223674 41.90019052118109),400051,NOBLE - NOBLE HS,1010 N NOBLE ST,HS,41.90019052,-87.66262778,24
325,POINT (-87.68913886416301 41.79771437940249),610096,NIGHTINGALE,5250 S ROCKWELL ST,ES,41.79771438,-87.68913886,63
326,POINT (-87.61223910523852 41.80120416674226),610587,DYETT ARTS HS,555 E 51ST ST,HS,41.80120417,-87.61223911,40
327,POINT (-87.693075322621 41.77099171900436),400115,CATALYST - MARIA,6727 S CALIFORNIA AVE,ES,41.77099172,-87.69307532,66
328,POINT (-87.69178650207834 41.76814276463553),610067,MCKAY,6901 S FAIRFIELD AVE,ES,41.76814276,-87.6917865,66
329,POINT (-87.62126075300296 41.78412639760065),400029,CICS - WASHINGTON PARK,110 E 61ST ST,ES,41.7841264,-87.62126075,40
330,POINT (-87.71879729303554 41.89323561092149),610133,WARD L,646 N LAWNDALE AVE,ES,41.89323561,-87.71879729,23
331,POINT (-87.70809202043938 41.879713591437415),610055,FARADAY,3250 W MONROE ST,ES,41.87971359,-87.70809202,27
332,POINT (-87.63435669191709 41.78149781662671),400086,URBAN PREP - ENGLEWOOD HS,6201 S STEWART AVE,HS,41.78149782,-87.63435669,68
